مرحبًا.	Hi.
تشجع!	You can do it.
تبدو مشغولاً.	You look busy.
تبدو شاحباً.	You look pale.
تبدو شاحب الوجه.	You look pale.
يبدو عليك المرض.	You look sick.
تبدو مريضاً.	You look sick.
يمكنك التحدث.	You may speak.
ستحتاج إلى ذلك.	You need this.
عليك الذهاب.	You should go.
من الأفضل أن تذهب.	You should go.
كنتَ مشغولاً.	You were busy.
إنك تعمل بجد.	You work hard.
أنت طفل.	You're a baby.
أنت تمزح!	You're joking!
اسمح لي بالذهاب.	Allow me to go.
هل أنت آتٍ؟	Are you coming?
هل أنت جائع؟	Are you hungry?
ألست طوم؟	Aren't you Tom?
تضع الطيور البيض.	Birds lay eggs.
أغلي الماء	Boil the water.
أحضرها لي.	Bring it to me.
هل لي أن أساعدك؟	Can I help you?
أيمكنني مساعدتك؟	Can I help you?
كيف لي أن أساعدك؟	Can I help you?
إفحص كُل واحد.	Check everyone.
أقفل الباب!	Close the door.
عُد قريبًا.	Come back soon.
هل كسرتها؟	Did I break it?
إفعل ما تريد.	Do as you like.
افعل ما تريد.	Do as you want.
هل تعرفني؟	Do you know me?
هل تحب ذلك؟	Do you like it?
هل يعجبك ذلك؟	Do you like it?
أتحبني؟	Do you love me?
هل تحبني؟	Do you love me?
هل تقصدني؟	Do you mean me?
أتعدني؟	Do you promise?
أتعديني؟	Do you promise?
هل يهم؟	Does it matter?
هل هذا يؤلم؟	Does this hurt?
لا تقل ذلك.	Don't say that.
لا توقفه	Don't stop him.
لا تلمسني.	Don't touch me!
ألق السكين.	Drop the knife!
الجميع يعرف	Everyone knows.
انهض من سريرك!	Get out of bed!
أعطه إياه.	Give it to him.
أعطه إياها.	Give it to him.
كل سنة و أنت بخير.	Happy New Year!
كل سنة و أنتم بخير.	Happy New Year!
عام جديد سعيد!	Happy New Year!
سنة جديدة سعيدة!	Happy New Year!
عاك سعيد!	Happy New Year!
عيد ميلاد سعيد.	Happy birthday!
هو لا يجري	He doesn't run.
هو يسوق بسرعة.	He drives fast.
هو تركنا.	He has left us.
هو غادرنا.	He has left us.
إنه طبيب.	He is a doctor.
إنه عبقري.	He is a genius.
إنه ذكي جداً.	He is a genius.
يبدو شاباً.	He looks young.
يحب الموسيقي.	He loves music.
غنى أغنية.	He sang a song.
يبدو متعباً.	He seems tired.
صفعها	He slapped her.
لن يذهب.	He will not go.
عمل بجد.	He worked hard.
إنّه طالب.	He's a student.
إنه والدي.	He's my father.
إنهُ مُسعد الأن.	He's ready now.
إليك بكتاب.	Here is a book.
هنا كتاب.	Here is a book.
ها قد أَتَوْا.	Here they come.
هذه بطاقتي.	Here's my card.
ها هو الباص.	Here's the bus.
هلا! ما الجديد؟	Hi! What's new?
مرحبا, ادخل	Hi, come on in.
كيف بإمكاني مساعدتك ؟	How can I help?
ما مدي ارتفاعها ؟	How high is it?
كم ثمنها؟	How much is it?
كيف حال أبيك؟	How's your dad?
أنا طالب	I am a student.
أكلت اللحم.	I ate the meat.
أخذت تبكي.	I began to cry.
بدأتُ بالبكاء.	I began to cry.
جئت سيراً على الأقدام.	I came on foot.
أتيت سيراً على الأقدام.	I came on foot.
لا يمكنني رؤيته.	I can't see it.
لا أخاف شيئا.	I fear nothing.
أشعر بما تمر به.	I feel for you.
أنا أعدك	I give my word.
أذهب إلى المدرسة.	I go to school.
لقد كَرِهتُ المَدرَسَة.	I hated school.
لدي كحة.	I have a cough.
لدي سعال.	I have a cough.
لدي حمى.	I have a fever.
عندي بيت.	I have a house.
لا أعرف‏.‏‏	I have no idea.
لدي أخوات.	I have sisters.
أذيت ركبتي.	I hurt my knee.
أعرف ذلك الولد.	I know the boy.
أحب القلاع.	I like castles.
أحب ذلك الكلب.	I like the dog.
أضعت مفاتيحي.	I lost my keys.
أنا أحب هارفارد.	I love Harvard.
أحبُ الجزر	I love carrots.
أحب أكل اللازانيا.	I love lasagna.
أحب الحفلات.	I love parties.
احب ان اخبز.	I love to bake.
عليّ أن أشتري واحدة.	I must buy one.
لابد أن اشتري واحدة.	I must buy one.
أحتاج الى سكين.	I need a knife.
توقفت عن التدخين	I quit smoking.
رأيت خمسة رجال.	I saw five men.
رأيته يقفز.	I saw him jump.
رأيتُ واحدة مرة.	I saw one once.
أنا أري الفتاة.	I see the girl.
أبيعُ الأسلحة.	I sell weapons.
أنا أدرس اللغة الكورية.	I study Korean.
انعطفتُ يمينًا.	I turned right.
عادةً أمشي.	I usually walk.
أريد مخلّلًا.	I want pickles.
أود أن أعرف.	I want to know.
أريد أن أعيش	I want to live.
شعرت بالصّدمة.	I was in shock.
لم أَكُنْ هُناكْ.	I wasn't there.
