مرحبًا.	Hi.
تشجع!	You can do it.
تبدو مشغولاً.	You look busy.
تبدو شاحباً.	You look pale.
تبدو شاحب الوجه.	You look pale.
يبدو عليك المرض.	You look sick.
تبدو مريضاً.	You look sick.
يمكنك التحدث.	You may speak.
ستحتاج إلى ذلك.	You need this.
عليك الذهاب.	You should go.
من الأفضل أن تذهب.	You should go.
كنتَ مشغولاً.	You were busy.
إنك تعمل بجد.	You work hard.
أنت طفل.	You're a baby.
أنت تمزح!	You're joking!
اسمح لي بالذهاب.	Allow me to go.
هل أنت آتٍ؟	Are you coming?
هل أنت جائع؟	Are you hungry?
ألست طوم؟	Aren't you Tom?
تضع الطيور البيض.	Birds lay eggs.
أغلي الماء	Boil the water.
أحضرها لي.	Bring it to me.
هل لي أن أساعدك؟	Can I help you?
أيمكنني مساعدتك؟	Can I help you?
كيف لي أن أساعدك؟	Can I help you?
إفحص كُل واحد.	Check everyone.
أقفل الباب!	Close the door.
عُد قريبًا.	Come back soon.
هل كسرتها؟	Did I break it?
إفعل ما تريد.	Do as you like.
افعل ما تريد.	Do as you want.
هل تعرفني؟	Do you know me?
هل تحب ذلك؟	Do you like it?
هل يعجبك ذلك؟	Do you like it?
أتحبني؟	Do you love me?
هل تحبني؟	Do you love me?
هل تقصدني؟	Do you mean me?
أتعدني؟	Do you promise?
أتعديني؟	Do you promise?
هل يهم؟	Does it matter?
هل هذا يؤلم؟	Does this hurt?
لا تقل ذلك.	Don't say that.
لا توقفه	Don't stop him.
لا تلمسني.	Don't touch me!
ألق السكين.	Drop the knife!
الجميع يعرف	Everyone knows.
انهض من سريرك!	Get out of bed!
أعطه إياه.	Give it to him.
أعطه إياها.	Give it to him.
كل سنة و أنت بخير.	Happy New Year!
كل سنة و أنتم بخير.	Happy New Year!
عام جديد سعيد!	Happy New Year!
سنة جديدة سعيدة!	Happy New Year!
عاك سعيد!	Happy New Year!
عيد ميلاد سعيد.	Happy birthday!
هو لا يجري	He doesn't run.
هو يسوق بسرعة.	He drives fast.
هو تركنا.	He has left us.
هو غادرنا.	He has left us.
إنه طبيب.	He is a doctor.
إنه عبقري.	He is a genius.
إنه ذكي جداً.	He is a genius.
يبدو شاباً.	He looks young.
يحب الموسيقي.	He loves music.
غنى أغنية.	He sang a song.
يبدو متعباً.	He seems tired.
صفعها	He slapped her.
لن يذهب.	He will not go.
عمل بجد.	He worked hard.
إنّه طالب.	He's a student.
إنه والدي.	He's my father.
إنهُ مُسعد الأن.	He's ready now.
إليك بكتاب.	Here is a book.
هنا كتاب.	Here is a book.
ها قد أَتَوْا.	Here they come.
هذه بطاقتي.	Here's my card.
ها هو الباص.	Here's the bus.
هلا! ما الجديد؟	Hi! What's new?
مرحبا, ادخل	Hi, come on in.
كيف بإمكاني مساعدتك ؟	How can I help?
ما مدي ارتفاعها ؟	How high is it?
كم ثمنها؟	How much is it?
كيف حال أبيك؟	How's your dad?
أنا طالب	I am a student.
أكلت اللحم.	I ate the meat.
أخذت تبكي.	I began to cry.
بدأتُ بالبكاء.	I began to cry.
جئت سيراً على الأقدام.	I came on foot.
أتيت سيراً على الأقدام.	I came on foot.
لا يمكنني رؤيته.	I can't see it.
لا أخاف شيئا.	I fear nothing.
أشعر بما تمر به.	I feel for you.
أنا أعدك	I give my word.
أذهب إلى المدرسة.	I go to school.
لقد كَرِهتُ المَدرَسَة.	I hated school.
لدي كحة.	I have a cough.
لدي سعال.	I have a cough.
لدي حمى.	I have a fever.
عندي بيت.	I have a house.
لا أعرف‏.‏‏	I have no idea.
لدي أخوات.	I have sisters.
أذيت ركبتي.	I hurt my knee.
أعرف ذلك الولد.	I know the boy.
أحب القلاع.	I like castles.
أحب ذلك الكلب.	I like the dog.
أضعت مفاتيحي.	I lost my keys.
أنا أحب هارفارد.	I love Harvard.
أحبُ الجزر	I love carrots.
أحب أكل اللازانيا.	I love lasagna.
أحب الحفلات.	I love parties.
احب ان اخبز.	I love to bake.
عليّ أن أشتري واحدة.	I must buy one.
لابد أن اشتري واحدة.	I must buy one.
أحتاج الى سكين.	I need a knife.
توقفت عن التدخين	I quit smoking.
رأيت خمسة رجال.	I saw five men.
رأيته يقفز.	I saw him jump.
رأيتُ واحدة مرة.	I saw one once.
أنا أري الفتاة.	I see the girl.
أبيعُ الأسلحة.	I sell weapons.
أنا أدرس اللغة الكورية.	I study Korean.
انعطفتُ يمينًا.	I turned right.
عادةً أمشي.	I usually walk.
أريد مخلّلًا.	I want pickles.
أود أن أعرف.	I want to know.
أريد أن أعيش	I want to live.
شعرت بالصّدمة.	I was in shock.
لم أَكُنْ هُناكْ.	I wasn't there.
سأقاضيك.	I will sue you.
سأرفع عليك قضية.	I will sue you.
أود الذهاب.	I'd like to go.
سأشتري سيارة.	I'll buy a car.
سأعود.	I'll come back.
سأتصل بك.	I'll phone you.
سأوبخه.	I'll scold him.
سأبقى في البيت.	I'll stay home.
أنا رجل حر.	I'm a free man.
إنني وراءه.	I'm behind him.
انا بخلفه .	I'm behind him.
أنا في السيارة	I'm in the car.
أنا في ورطة.	I'm in trouble.
أنا لست جائع.	I'm not hungry.
أنا لستُ خائفاً.	I'm not scared.
أنا لستُ خائفةً	I'm not scared.
أنا كبير بما يكفي.	I'm old enough.
أنا كبير بما فيه الكفاية.	I'm old enough.
أنا ما زلت هنا.	I'm still here.
أنا القاتل.	I'm the killer.
أنا أخلع ملابسي.	I'm undressing.
أنا سعيد للغاية.	I'm very happy.
أنا سعيد جداً.	I'm very happy.
أنا آسف جداً	I'm very sorry.
كنت مشغولا.	I've been busy.
سبق و رأيت ذلك.	I've seen that.
لقد رأيت ذلك من قبل.	I've seen that.
لو أنّني كنت أعرف!	If only I knew!
أهو أمريكي؟	Is he American?
هل هو ياباني؟	Is he Japanese?
هل هذه فرنسية؟	Is this French?
أليست سوداء؟	Isn't it black?
أليس أسوداً؟	Isn't it black?
هل اليوم هو السبت؟	It is Saturday.
كان ذلك فأراً.	It was a mouse.
إنها جديدة.	It's brand new.
إنك في خطر!	It's dangerous!
الجو حار اليوم.	It's hot today.
اليوم حار	It's hot today.
إنها جاهزة الأن.	It's ready now.
إنها الملكة.	It's the queen.
إنها صغيرة جداً.	It's too small.
إنها صغيرة جداً	It's too small.
الأمر يعود إليك.	It's up to you.
كما تريد.	It's up to you.
إن الجو قارس.	It's very cold.
الجو بارد جداً.	It's very cold.
هذا جيد جدا	It's very good.
حسنًا عُمِلَ.	It's well done.
إنه كتابك.	It's your book.
إنه دورك.	It's your turn.
فقط أضف الماء	Just add water.
اتبعني فحسب.	Just follow me.
فقط انس الأمر.	Just forget it.
الأطفال يحبّون الكلاب.	Kids love dogs.
دع الأمر لي.	Leave it to me.
اتركني و شأني!	Leave me alone!
دعني و شأني!	Leave me alone!
اتركني وحيدا	Leave me alone.
لنعُد إلى البيت.	Let us go home.
هيا لنرجع إلى المنزل.	Let us go home.
لنسرع.	Let's hurry up.
دعونا لا نتحدث.	Let's not talk.
دعينا لا نتحدث.	Let's not talk.
دعنا لا نتحدث.	Let's not talk.
لنشاهد التلفاز.	Let's watch TV.
لنشاهد الرائي.	Let's watch TV.
لنشاهد التلفزيون.	Let's watch TV.
أقفل الأبواب.	Lock the doors.
اعتني بتوم	Look after Tom.
من فضلك، ارفع صوتك.	Louder, please.
هل تحتاج لمساعدة؟	May I help you?
هل لي أن أساعدك؟	May I help you?
أيمكنني مساعدتك؟	May I help you?
هل يمكنني أن اساعدك؟	May I help you?
أيمكنني الجلوس؟	May I sit down?
أيمكنني الجلوس هنا؟	May I sit here?
هل يمكنني استخدام هذا؟	May I use this?
مفاصلي تؤلمني.	My joints ache.
أنفي تريد حَكَّها	My nose itches.
أنفي يحكّني؟	My nose itches.
سني يؤلمني.	My tooth hurts.
الآن تذكرت.	Now I remember.
تذكرت الآن.	Now I remember.
الله وحده يعلم.	Only God knows.
الناس يحبونني.	People like me.
تفضل بالدخول.	Please come in.
تفضّل بالدّخول.	Please come in.
من فضلك ساعدني.	Please help me.
انتظر قليلاً.	Please hold on.
ارتفعت الأسعار.	Prices went up.
زرعت ورداً.	She grew roses.
هي تمشي.	She is walking.
ربما ستأتي.	She might come.
من الممكن أنها ستأتي.	She might come.
هي ليست هنا	She's not here.
خذ وقتك.	Take your time.
خذ وختك	Take your time.
أخبر الجميع	Tell everybody.
قل الحقيقة	Tell the truth.
شكرا جزيلا.	Thanks a bunch.
ذاك فندقٌ.	That's a hotel.
ذلك فندقٌ.	That's a hotel.
هذا كتابي.	That's my book.
هذا بلاستيك.	That's plastic.
غردت العصافير.	The birds sang.
كلهم سكارى.	They all drank.
إنهم سعداء.	They are happy.
هم سعداء.	They are happy.
كانوا يكرهون توم.	They hated Tom.
هُم تركوني أذهب.	They let me go.
فكر في ذلك.	Think about it.
فكر بذلك	Think about it.
هذا كتاب.	This is a book.
هذه نكتة.	This is a joke.
هذه سيارتي.	This is my car.
التذكرة من فضلك	Ticket, please.
التذكرة لو سمحت	Ticket, please.
حان وقت الإستيقاظ.	Time to get up.
توم ينتظر.	Tom is waiting.
توم ليس هنا	Tom isn't here.
توم ليس في البيت	Tom isn't home.
توم يعلم ذلك	Tom knows that.
يبدو توم شاحب الوجه.	Tom looks pale.
توم ليس في البيت	Tom's not home.
توم هو الأفضل.	Tom's the best.
توم يشاهد	Tom's watching.
اِغسل رجليك.	Wash your feet.
راقب الجزء الخلفي .	Watch the rear.
نحن في المنزل	We are at home.
جعلناه يذهب.	We made him go.
سنجد واحدا.	We'll find one.
سنقتلك.	We'll kill you.
نحن في المنزل الآن.	We're home now.
نحن مطيعون.	We're obedient.
نحن بمأمن الآن.	We're safe now.
نحن في أمان الآن.	We're safe now.
نحن طلاب	We're students.
إذاً هيا بنا نذهب.	Well, let's go.
يا له من كلب كبير!	What a big dog!
ماذا عن "توم"؟	What about Tom?
ما هو عملك؟	What do you do?
ماذا لو فشلت؟	What if I fail?
ماذا قلت؟	What'd you say?
متى سنأكل؟	When do we eat?
أين هم؟	Where are they?
أين هما؟	Where are they?
أين تقع باريس؟	Where is Paris?
أين كنت؟	Where were you?
من كسر هذا؟	Who broke this?
من يتحدّث؟	Who's speaking?
من هذا الصبي؟	Who's that boy?
لم تسأل؟	Why do you ask?
لماذا تسأل؟	Why do you ask?
لماذا هو موجود هنا؟	Why is he here?
لم هو هنا؟	Why is he here?
لماذا هو هنا؟	Why is he here?
نظف أنفك	Wipe your nose.
نعم, أعلم	Yes, I know it.
نعم، بالطبع.	Yes, of course.
أنت أحمق.	You are stupid.
عليك أن تذهب.	You have to go.
عليك الرحيل.	You have to go.
عليك أن ترحل.	You have to go.
يبدو عليك الملل.	You look bored.
تبدو سعيداً	You look happy.
تبدو متعباً.	You look tired.
لا بد أنك تمزح!	You're kidding!
أنت طفلي.	You're my baby.
عفوًا.	You're welcome.
هل هذه الأشياء لك؟	Are these yours?
هل أنت في البيت؟	Are you at home?
هل أنت موجود في المنزل؟	Are you at home?
هل صحتك جيدة؟	Are you healthy?
هل تَمْزَح؟	Are you kidding?
أأنت تمزح؟	Are you kidding?
يصنع النحل العسل.	Bees make honey.
كن مؤدبًا.	Behave yourself.
أحسن التصرف.	Behave yourself.
اثني ركبتيك.	Bend your knees.
أحضره إلي.	Bring him to me.
اتصل بالشرطة!	Call the police!
اطلب الشرطة!	Call the police!
أيمكنك أن تبحث عنها؟	Can you find it?
أيمكنك إيجادها؟	Can you find it?
أيمكنك أن تسمعني؟	Can you hear me?
هل بإمكانك سماعي؟	Can you hear me?
هل يمكنك أن تساعدني؟	Can you help me?
نظف غرفتك.	Clean your room.
نظفي غرفتكِ.	Clean your room.
أغلق عينيك.	Close your eyes.
تعال إذا أمكنك.	Come if you can.
مبروك.	Congratulations!
تهانينا!	Congratulations!
مبارك!	Congratulations!
تهانيّ!	Congratulations!
دافِع عن نَفسَك.	Defend yourself.
هل اشتقت إليّ؟	Did you miss me?
هل اشتقت لي؟	Did you miss me?
هل افتقدتني؟	Did you miss me?
هل تشك في ذلك؟	Do you doubt it?
هل تأكل اللحم؟	Do you eat meat?
ألديك واحد؟	Do you have one?
هل لديك واحدة؟	Do you have one?
هل لديك واحد؟	Do you have one?
هل تعلم لماذا؟	Do you know why?
أتحب موسيقى الراب؟	Do you like rap?
هل تحبه ؟ / هل تحبينه ؟	Do you love him?
أما زلت تذكر؟	Do you remember?
هل تتذكر؟	Do you remember?
هل تري هذا؟	Do you see that?
أتعتقد ذلك؟	Do you think so?
هل تبدو بخير؟	Does it look OK?
لا تأت هنا.	Don't come here.
لا تنسانا.	Don't forget us.
لا تنظر إلى الوراء.	Don't look back.
لا تنظر إلى الخلف.	Don't look back.
لا تنظر وراءك.	Don't look back.
لا تتظاهر بالغباء!	Don't play dumb!
لا تلعب هنا.	Don't play here.
قُد بحذر.	Drive carefully.
سُق بحذر	Drive carefully.
بالصحة و العافية!	Enjoy your meal!
إخرج من هنا.	Get out of here.
اعطني مهلة.	Give me a break.
أعطني المفتاح.	Give me the key.
عظيم, أليس كذلك؟	Great, isn't it?
يناسبك اللون الأخضر.	Green suits you.
أخذت تبكي.	He began to cry.
أصبحت الكرة معه.	He got the ball.
حصل على الكرة.	He got the ball.
إنه لطيف جداً.	He is very kind.
يبدو قوياً.	He looks strong.
فقد عمله.	He lost his job.
خسر وظيفته.	He lost his job.
إنه يحب القطارات.	He loves trains.
تم طرده	He was laid off.
سيذهب كذلك.	He will also go.
إنهُ في مشكلة.	He's in trouble.
هو أخي	He's my brother.
ليس غبياً.	He's not stupid.
تفضل الحساب	Here's the bill.
ها هو كلبك.	Here's your dog.
أهلاً كيف حالك؟	Hi! How are you?
كيف حالك الآن؟	How are you now?
و كيف لك أن تعرف؟	How do you know?
يا للروعة!	How fascinating!
كم هذا رائع!.	How fascinating!
كم هذا مثير للإهتمام!	How interesting!
كيف حال الجميع؟	How is everyone?
كيف حالكم جميعاً؟	How is everyone?
كيف حال أبيك؟	How is your dad?
كم رائع أنتَ!	How nice of you!
كم رائعة أنتِ!	How nice of you!
كم عمرك؟	How old are you?
يا لوقاحتك!	How rude of you!
يا لك من وقح!	How rude of you!
أنا من مصر.	I am from Egypt.
أنا لست خائف.	I am not afraid.
كسرت كوبا.	I broke a glass.
اتصلت بتوم.	I called Tom up.
ناديت كلبي.	I called my dog.
فعلت هذا بنفسي.	I did it myself.
لم أنس.	I didn't forget.
أنا أشك في ذلك أيضًا.	I doubt it, too.
أذهب كل سنة.	I go every year.
وصلتُ إلى البيت متأخرا.	I got home late.
أكره السياسة.	I hate politics.
لدي أخت	I have a sister.
ليس لدي أي مال.	I have no money.
لدي نقود	I have no money.
لديّ عشرة أقلام.	I have ten pens.
عليّ أن أدرس.	I have to study.
عندي سيارتان.	I have two cars.
عندي ابنان.	I have two sons.
أسمع الطبول.	I hear the drum.
سمعتكما.	I heard you two.
أعطس كثيراً.	I keep sneezing.
أعرف اسمه.	I know his name.
أعرف اسمه	I know his name.
أعرف تلك الصبية.	I know the girl.
أعرف تلك الفتاة.	I know the girl.
أحب اللحوم الحمراء.	I like red meat.
تعجبني سيارتك.	I like your car.
أعيش في اليابان.	I live in Japan.
أنا أعيش في اليابان	I live in Japan.
أحب الرقص.	I love to dance.
أحب أن أرقص.	I love to dance.
أحب أفلام رعاة البقر	I love westerns.
أحبك كذلك.	I love you, too.
يجب أن أساعدها.	I must help her.
عليّ أن أساعده.	I must help him.
أحتاج لقلم.	I need a pencil.
أنا بحاجة للمساعدة الآن.	I need help now.
أحتاجُ للمساعدة الآن.	I need help now.
أحتاج إلى مساعدته.	I need his help.
أحتاج للمفاتيح.	I need the keys.
أحتاج إلى أن أدرس.	I need to study.
عادة ما أراه.	I often see him.
لعبت التنس.	I played tennis.
أفضّل ركوب الدرّاجة الهوائيّة.	I prefer biking.
أفضّل ركوب الدرّاجة.	I prefer biking.
أفضل ركوب الدراجة.	I prefer biking.
أفضل القهوة.	I prefer coffee.
أنا أقرأ كتابه	I read his book.
قرأت الكتاب.	I read the book.
أركض كل يوم.	I run every day.
أظن أنها لا بأس بها.	I think it's OK.
أريد كعكة.	I want a cookie.
أريد قيثارة.	I want a guitar.
أريد الحصول على جيتار.	I want a guitar.
أنا أريد ببغاءًا.	I want a parrot.
أريد أمي.	I want my mommy.
أنا أريد واحدة، أيضا.	I want one, too.
أريد واحداً	I want one, too.
أريد تلك الحقيبة.	I want that bag.
أريد أن أقود.	I want to drive.
أريد أن أتعلّم.	I want to learn.
أريد أن أنام.	I want to sleep.
أنا ذهبت للتسوق.	I went shopping.
سأشتاق إليك.	I will miss you.
أعمل معه.	I work with him.
سأرافقك.	I'll assist you.
سوفَ أُحضرُ حقيبتي.	I'll get my bag.
أنا رجل سهر.	I'm a night owl.
أنا جاهز تقريباً.	I'm about ready.
أنا بخير	I'm doing great.
أشعر أني رشيق.	I'm feeling fit.
أحس بأن لياقتي عالية.	I'm feeling fit.
أنا ذاهب.	I'm going to go.
سأذهب الآن.	I'm going to go.
أنا أيسر.	I'm left-handed.
لستُ أمزح!	I'm not kidding.
لا أشعر بالعطش.	I'm not thirsty.
أنا لست قلقاً.	I'm not worried.
أنا على القائمة.	I'm on the list.
أنا فقط أمزح.	I'm only joking.
أنا أقرأ الآن	I'm reading now.
أنا جائع جداً.	I'm very hungry.
أنا والدك.	I'm your father.
انا صديقك.	I'm your friend.
هل العشاء جاهز؟	Is dinner ready?
أليست سوداء؟	Is it not black?
هل هي يابانية؟	Is she Japanese?
هل هي طبيبة؟	Is she a doctor?
أهي طبيبة؟	Is she a doctor?
هل هذا نهر؟	Is this a river?
إنها فعلا مؤلمة	It really hurts.
إنّه يوم بارد.	It's a cold day.
إنه يوم جميل.	It's a nice day.
إنّها مفاجأة.	It's a surprise.
هذا كل ما املك	It's all I have.
قاربت على السادسة.	It's almost six.
إنه صناعي.	It's artificial.
إنها صناعية.	It's artificial.
إنه يوم بارد	It's cold today.
طقس اليوم جميل.	It's fine today.
إن ذلك مستحيل.	It's impossible.
هذا مستحيل.	It's impossible.
لا يُصدّق.	It's incredible.
هذا مجرّد ماء.	It's just water.
إنه وقت الغداء.	It's lunch time.
حان وقت طعام الغداء.	It's lunch time.
إنها ليست مكسورة	It's not broken.
انها ليست كافيه	It's not enough.
ليس بعيداً.	It's not so far.
لا بأس أن تذهب.	It's okay to go.
حان وقت الذهاب.	It's time to go.
الليمون حامض.	Lemons are sour.
دعني أذهب وحدي.	Let me go alone.
دعني أساعدك.	Let me help you.
لنأكل السوشي.	Let's eat sushi.
لننسى ذلك.	Let's forget it.
دعنا نحصل على سيارة أجرة.	Let's get a cab.
دعونا نحصل على سيارة أجرة.	Let's get a cab.
هيا لنشرب.	Let's get drunk.
هيا بنا لنسكر.	Let's get drunk.
لنذهب بالحافلة.	Let's go by bus.
سنكتفي بهذا الحد اليوم و نقف هنا.	Let's stop here.
لنعد أدراجنا.	Let's turn back.
اجعلها أصغر.	Make it smaller.
تكون ماري زوجتي.	Mary is my wife.
هل لي أن أقاطع؟	May I interrupt?
قابلني هذه الليلة	Meet me tonight.
ميلاد مجيد.	Merry Christmas!
الأخطاء تحدث.	Mistakes happen.
كان المال قليلا.	Money was tight.
دمي يغلي.	My blood boiled.
منزلي كبير.	My house is big.
لقد انتهت حياتي.	My life is over.
لا تلعب هنا أبداً.	Never play here.
لا اقو ابدا	Never say never.
لا أحد هنا.	Nobody's around.
افتح النافذة.	Open the window.
ناولني القلم.	Pass me the pen.
ابقَ هادئاً من فضلك.	Please be quiet.
تفضل بالجلوس.	Please sit down.
تفضل بالجلوس من فضلك.	Please sit down.
من فضلك اجلس.	Please sit down.
تفضّل خذ واحدة.	Please take one.
الحمد لله.	Praise the Lord.
الأسعار مرتفعة.	Prices are high.
البس قبّعتك.	Put on your cap.
البسي قبّعتكِ.	Put on your cap.
ارفع يديك.	Raise your hand.
الرفض يؤلم.	Rejection hurts.
أراك في البيت	See you at home.
أرسله بالبريد.	Send it by mail.
هي ليست هنا	She is not here.
ليست طويلة.	She is not tall.
إنها تتكلم كثيراً.	She talks a lot.
إنها تكثر من الكلام.	She talks a lot.
إنها تتحدث أكثر من اللازم.	She talks a lot.
إنها تتحدث أكثر مما يجب.	She talks a lot.
إنها أختي.	She's my sister.
إنها أختي	She's my sister.
اغلق فمك.	Shut your mouth.
إجلس مستقيماً.	Sit up straight.
اقعد مستقيم الظهر.	Sit up straight.
إبقى في السيارة	Stay in the car.
سرقة المال.	Steal the money.
شكرا يا رفاق.	Thank you, guys.
ذلك الكلب ضخم.	That dog is big.
تلك طاولةٌ.	That is a table.
تلك سيارته.	That is his car.
تلك هي سيارته	That is his car.
هذا ليس عدلاً.	That isn't fair.
ذلك يبدو جيدا	That looks good.
لن يصلح ذلك!	That won't work!
هذا يدعو للراحة.	That's a relief.
هذا أمر	That's an order.
هذا ليس عدلاً.	That's not fair.
ذاك هو العائق.	That's the snag.
هذا كثير.	That's too much.
الكتاب أحمر.	The book is red.
الولد لطيف.	The boy is kind.
هذا الولد طيب.	The boy is kind.
استيقظت القطة.	The cat woke up.
فُتح الباب.	The door opened.
انتشر الخبر.	The news spread.
البحر هادئ.	The sea is calm.
السماء زرقاء.	The sky is blue.
لا يوجد أمل.	There's no hope.
هذه عصافير.	These are birds.
هم يعيشون هناك	They live there.
يبدون سعداء	They look happy.
لا ينوون الكلام.	They won't talk.
هم كبار جدا	They're too big.
هذه السيارة له	This car is his.
هذا لك.	This is for you.
هذا طفلي.	This is my baby.
هذا بيتي	This is my home.
هذه هي النهاية.	This is the end.
هذا كبير جدا	This is too big.
هذا ليس عدلاً.	This isn't fair.
كل ابن آدم خطاّء	To err is human.
اليوم هو الإثنين	Today is Monday.
كاد توم يموت	Tom almost died.
يشرب توم الحليب.	Tom drinks milk.
توم شعر بالقوة.	Tom felt strong.
لقد انقطع توم.	Tom has snapped.
توم ليس ملاكاً	Tom is no angel.
توم يشاهد	Tom is watching.
توم ليس سعيدا.	Tom isn't happy.
توم يحب النقود	Tom likes money.
توم يعيش هناك	Tom lived there.
توم يبدو سعيداً	Tom looks happy.
كاد توم يموت	Tom nearly died.
توم يريد ماء	Tom needs water.
توم يقرأ كتاباً	Tom read a book.
توم يفهم	Tom understands.
سيهرب توم.	Tom will escape.
أطفأ التلفاز.	Turn off the TV.
أطفئ التّلفاز.	Turn the TV off.
انتظر. عد إلى هنا.	Wait. Come back.
اِغسل يديك.	Wash your hands.
نحن طلاب	We are students.
نحن معلمون.	We are teachers.
نحن مدرسون.	We are teachers.
لدينا ضيف.	We have a guest.
لقد وصلنا.	We have arrived.
علينا أن نساعد	We have to help.
قابلنا كاتباً.	We met a writer.
نحن من كندا.	We're Canadians.
نحن كنديون.	We're Canadians.
نحن نستمع	We're listening.
يا لها من مفاجأة!	What a surprise!
ماذا قال؟	What did he say?
ما الذي قاله؟	What did he say?
ماذا فعلتَ؟	What did you do?
ماذا تقولين؟	What do you say?
ما هي صفاته؟	What is he like?
ما هي مواصفاته؟	What is he like?
كم عمره؟	What is his age?
ما الساعة الآن؟	What time is it?
كم الساعة؟	What time is it?
ما الذي يحدث؟	What's going on?
كَم الساعة؟	What's the time?
كَمْ عُمرُك؟	What's your age?
ما مهنتك؟	What's your job?
ماذا تعمل؟	What's your job?
متى يمكننا الأكل؟	When can we eat?
أين ذهب؟	Where did he go?
أين كتابي؟	Where's my book?
أين الخريطة؟	Where's the map?
من ذاك الرجل؟	Who is that man?
من تلك البنت؟	Who's that girl?
اكتب ذلك.	Write that down.
أنتَ تقريباً مت.	You almost died.
لقد خنتني.	You betrayed me.
لقد خنتيني.	You betrayed me.
خذلتني.	You let me down.
تبدو كئيبا	You look gloomy.
تبدو أحمقاً.	You look stupid.
من الأفضل لك أن تغادر.	You'd better go.
ستضل طريقك.	You'll get lost.
ستضيع.	You'll get lost.
أنتَ جبان!	You're a coward!
أنتِ منفعلة.	You're agitated.
أنت ملاك	You're an angel.
أنت مُسامح.	You're forgiven.
أنت بطلنا.	You're our hero.
إنتهى وقتك.	Your time is up.
إنتهى الوقت المخصص لك.	Your time is up.
هناك كلب ينبح.	A dog is barking.
اتصلت بي فتاة.	A girl phoned me.
أي كتاب سيفي بالغرض.	Any book will do.
هل هم أصدقاء؟	Are they friends?
هل أنت ياباني؟	Are you Japanese?
هل أنت محامٍ؟	Are you a lawyer?
هل أنت مجنون؟	Are you a maniac?
هل أنت جديد هنا؟	Are you new here?
هل أنت جديد أيضاً؟	Are you new, too?
هل انت مع توم؟	Are you with Tom?
ألست سعيداً؟	Aren't you happy?
و أخيراً أتى.	At last, he came.
كن اكثر مرونه.	Be more flexible.
فرش أسنانك.	Brush your teeth.
اتصل بي غداً.	Call me tomorrow.
هل يمكننا البقاء هنا؟	Can we stay here?
أيمكننا الوثوق بك؟	Can we trust you?
أيمكنك إثبات ذلك؟	Can you prove it?
أيمكنك أن تثبت ذلك؟	Can you prove it?
هل تراهم؟	Can you see them?
الكرز أحمر.	Cherries are red.
نظف المرايا.	Clean the mirror.
نَظِّفِ المِرْآة	Clean the mirror.
تعال و ساعدنا.	Come and help us.
تعال و اجلس معنا.	Come sit with us.
تعال إلى منزلي.	Come to my house.
واصِل الحفر.	Continue digging.
واصِل العمل.	Continue working.
تَحَكَم بنفسك.	Control yourself.
قطع البطاطا.	Cut the potatoes.
هل قابلتها؟	Did you meet her?
أفعله مباشرة	Do it right away.
إفعل ما يقوله توم.	Do what Tom says.
إفعلى ما يقوله توم.	Do what Tom says.
افعل ما شئت.	Do what you will.
هل تعرفهم؟	Do you know them?
هل تحب ذلك؟	Do you like that?
أتسكن هنا؟	Do you live here?
هل تعيش هنا؟	Do you live here?
هل تسكن هنا؟	Do you live here?
ألا تثق بتوم؟	Do you trust Tom?
قم بعملك بنفسك.	Do your own work.
لا تُبالِغ.	Don't exaggerate.
لا تنظر إلي!	Don't look at me.
لا تستخدم قلمي.	Don't use my pen.
لا تستعمل قلمي.	Don't use my pen.
لا تصرخ في وجهي.	Don't yell at me.
اشرب بعض الماء	Drink some water.
كُل الخضار الخاص بك.	Eat your veggies.
تم إعلام الجميع.	Everyone noticed.
تم إشعار الجميع.	Everyone noticed.
أكمل حليبك.	Finish your milk.
عد إلى العمل.	Get back to work.
اعطني فرصة!	Give me a chance!
أعطني الكتاب.	Give me the book.
أعطني الكتاب	Give me the book.
هو لا يدخن.	He doesn't smoke.
وجد دراجتي الضائعة.	He found my bike.
لديها شعر طويل	He has long hair.
سمع صرخة.	He heard a shout.
سمع صراخاً.	He heard a shout.
إنهُ مبتدىء.	He is a beginner.
هو أخي	He is my brother.
ليس غبياً.	He is not stupid.
هو تجاوز الأربعين.	He is past forty.
إنه يحب الصيد.	He likes fishing.
إنه يحب صيد الأسماك.	He likes fishing.
يحب البرتقال.	He likes oranges.
هو يحب الصيد.	He likes to hunt.
هو يحبّ الطّقوس.	He loves rituals.
لا بد أنه يحبك.	He must love you.
هو يصرخ كثيرا.	He screams a lot.
هو يتحدث العربيه.	He speaks Arabic.
لقد إستخدم رأسه.	He used his head.
هو يكتب العربيه.	He writes Arabic.
هو عالم أحيائي.	He's a biologist.
إنه من محبي القطط.	He's a cat lover.
هو تجاوز الثلاثين.	He's over thirty.
تفضل الحساب	Here is the bill.
ها هي حقيبتك.	Here is your bag.
ها هو مفتاحك.	Here is your key.
ها هي محفظتي.	Here's my wallet.
ما رأيك أن نتمشّى؟	How about a walk?
كيف حالك يا توم؟	How are you, Tom?
كم هذا محرج!	How embarrassing!
يا للإحراج!	How embarrassing!
كم طول ذلك؟	How long is this?
كم طولك؟	How tall are you?
ما أطولك!	How tall you are!
ما أطول عودك!	How tall you are!
يا لسوء حظي.	How unlucky I am!
يا لي من منحوس!	How unlucky I am!
لقد كبرت!	How you've grown!
أوافقه الرأي.	I agree with him.
